"cohort","treatment_scope","feature","n","n_good","n_poor","g","se","lo","hi"
"GSE209746","nCRT","IFN",93,26,67,0.275128812142657,0.23195435527819,-0.179501724202595,0.72975934848791
"GSE209746","nCRT","NK",93,26,67,0.16981054103274,0.231398679917469,-0.283730871605499,0.623351953670979
"GSE209746","nCRT","Cyto",93,26,67,0.138701599080647,0.231284706858382,-0.314616426361781,0.592019624523075
"GSE35452","nCRT","IFN",46,24,22,0.237594059272231,0.296247700483368,-0.34305143367517,0.818239552219632
"GSE35452","nCRT","NK",46,24,22,0.103999144312397,0.295371154972173,-0.474928319433061,0.682926608057855
"GSE35452","nCRT","Cyto",46,24,22,0.0438731262493819,0.295200076948468,-0.534719024569615,0.622465277068379
"GSE87211","nCRT","IFN",202,35,167,0.479610724837909,0.187442040753864,0.112224324960335,0.846997124715482
"GSE87211","nCRT","NK",202,35,167,0.536254749210777,0.18782538543459,0.168116993758981,0.904392504662573
"GSE87211","nCRT","Cyto",202,35,167,0.557145118964779,0.187977337018296,0.188709538408918,0.925580699520639
"GSE150082","nCRT","IFN",39,16,23,0.958919754230738,0.344099262851024,0.28448519904273,1.63335430941875
"GSE150082","nCRT","NK",39,16,23,0.749534180935122,0.337001740165888,0.0890107702099816,1.41005759166026
"GSE150082","nCRT","Cyto",39,16,23,0.423043389989897,0.329236566024484,-0.222260279418091,1.06834705939789
"GSE45404","nCRT","IFN",42,19,23,0.39307483952245,0.31311529455658,-0.220631137808446,1.00678081685335
"GSE45404","nCRT","NK",42,19,23,-0.0160739628014416,0.310021079074368,-0.623715277787202,0.591567352184319
"GSE45404","nCRT","Cyto",42,19,23,0.459960218389056,0.314252099990103,-0.155973897591546,1.07589433436966
"GSE119409","nCRT","IFN",56,15,41,0.74364375582251,0.31012471172807,0.135799320835492,1.35148819080953
"GSE119409","nCRT","NK",56,15,41,-0.137046513718784,0.30204439348083,-0.729053524941212,0.454960497503643
"GSE119409","nCRT","Cyto",56,15,41,0.272779042051662,0.302895819200786,-0.320896763581878,0.866454847685202
"GSE133057","nCRT","IFN",33,13,20,-0.163131654990267,0.356864542524386,-0.862586158338064,0.536322848357529
"GSE133057","nCRT","NK",33,13,20,0.00696024666177824,0.356263748218348,-0.691316699846184,0.70523719316974
"GSE133057","nCRT","Cyto",33,13,20,-0.0266494435160565,0.356278727468113,-0.724955749353559,0.671656862321446
"GSE53781","nCRT","IFN",26,10,16,0.0672575844196151,0.403229762425168,-0.723072749933714,0.857587918772945
"GSE53781","nCRT","NK",26,10,16,0.160392557580671,0.403777108804249,-0.631010575675656,0.951795690836999
"GSE53781","nCRT","Cyto",26,10,16,-0.212564168087715,0.404278769476037,-1.00495055626075,0.579822220085318
"GSE94104","nCRT","IFN",40,11,29,0.192001372046813,0.354791359948113,-0.503389693451488,0.887392437545114
"GSE94104","nCRT","NK",40,11,29,0.201880996220879,0.354863511584281,-0.493651486484311,0.89741347892607
"GSE94104","nCRT","Cyto",40,11,29,0.0835588577072999,0.354236812089044,-0.610745293987227,0.777863009401827
"GSE56699","neoadjuvant_radiotherapy","IFN",51,23,28,-0.317443611735443,0.283232795501226,-0.872579890917846,0.237692667446959
"GSE56699","neoadjuvant_radiotherapy","NK",51,23,28,-0.18609016022465,0.28203884362941,-0.738886293738293,0.366705973288993
"GSE56699","neoadjuvant_radiotherapy","Cyto",51,23,28,-0.157177804208403,0.281859250360544,-0.70962193491507,0.395266326498263
